iter	Passed	Remaining
417	3487	684
418	3494	675
419	3500	666
420	3507	658
421	3514	649
422	3522	641
423	3529	632
424	3536	624
425	3543	615
426	3550	607
427	3557	598
428	3564	589
429	3571	581
430	3577	572
431	3584	564
432	3590	555
433	3599	547
434	3608	539
435	3614	530
436	3622	522
437	3629	513
438	3636	505
439	3646	497
440	3653	488
441	3660	480
442	3667	471
443	3674	463
444	3680	454
445	3691	446
446	3697	438
447	3704	429
448	3711	421
449	3717	413
450	3725	404
451	3731	396
452	3739	387
453	3745	379
454	3754	371
455	3761	362
456	3768	354
457	3775	346
458	3784	338
459	3791	329
460	3799	321
461	3806	313
462	3812	304
463	3818	296
464	3825	287
465	3832	279
466	3841	271
467	3848	263
468	3855	254
469	3863	246
470	3869	238
471	3876	229
472	3883	221
473	3890	213
474	3897	205
475	3905	196
476	3912	188
477	3920	180
478	3927	172
479	3934	163
480	3940	155
481	3947	147
482	3953	139
483	3960	130
484	3967	122
485	3973	114
486	3981	106
487	3986	98
488	3993	89
489	3999	81
490	4007	73
491	4014	65
492	4021	57
493	4030	48
494	4039	40
495	4046	32
496	4052	24
497	4059	16
498	4066	8
499	4074	0
